region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
毕加索小镇(一期)(公寓) ,2,2,南,精装,1,21,480,19.2,2.4865,185.0,460.0
蒙自路601弄 ,2,2,南,精装,0,4,192,19.2,7.5093000000000005,78.57,590.0
中信泰富又一城 ,2,2,南北,精装,1,2,776,19.2,3.9639,89.56,355.0
远中风华园(公寓) ,1,2,南,精装,1,3,253,19.2,10.5878,73.67,780.0
佳安公寓 ,3,2,东南,精装,1,5,136,19.2,5.9031,167.37,988.0
三林安居苑 ,2,1,南,精装,0,4,246,19.2,5.0,64.0,320.0
江临天下 ,4,2,南西南,精装,1,4,41,19.2,9.0509,165.73,1500.0
象屿都城 ,3,2,南北,其他,1,1,190,19.2,3.6112,108.0,390.0
亚都国际名园 ,2,2,南,精装,1,28,77,19.2,9.782200000000001,112.45,1100.0
虹桥衡园 ,3,2,南,精装,1,0,40,19.2,6.456,147.15,950.0
上海绿城 ,2,2,东南,精装,1,0,217,19.2,8.221,108.26,890.0
海华花园 ,3,2,西南,其他,1,5,48,19.2,7.7533,117.37,910.0
新梅共和城 ,3,2,南北,精装,1,0,40,19.2,7.0478000000000005,127.7,900.0
黄浦丽园 ,2,2,南,精装,1,21,105,19.2,10.4808,104.0,1090.0
徐汇苑 ,2,2,南,精装,1,1,44,19.2,8.6888,112.79,980.0
绿川新苑 ,3,2,南,简装,0,15,239,19.2,3.9883,99.04,395.0
阳光花城 ,2,2,南,精装,1,19,64,19.2,6.0628,115.46,700.0
世茂滨江花园 ,2,2,西南,精装,1,15,38,19.2,9.837900000000001,147.39,1450.0
福苑小区 ,2,1,东南,简装,1,17,135,19.2,5.7926,70.78,410.0
新时空国际商务广场 ,1,1,东南,精装,0,17,20,19.2,4.7999,40.61,195.0
通海一小区 ,2,1,暂无数据,简装,0,6,20,19.2,2.9775,70.53,210.0
天环苑 ,2,2,南,毛坯,0,4,117,19.2,2.8421000000000003,77.41,220.0
嘉里华庭 ,3,2,南,精装,1,47,51,24.0,8.591700000000001,145.49,1250.0
明日星城 ,3,2,南北,简装,1,37,95,19.2,8.2706,119.46,988.0
海珀旭晖酒店式公寓 ,1,1,南,精装,1,67,32,19.2,7.556100000000001,67.76,512.0
仲信苑 ,1,1,南,毛坯,1,16,32,19.2,8.341800000000001,69.53,580.0
龙湖郦城 ,2,2,南,精装,1,12,45,14.0,3.6708000000000003,92.08,338.0
东方花园(一期) ,2,2,南,精装,0,22,55,19.2,5.2893,82.81,438.0
复兴苑 ,2,2,南,精装,1,18,126,19.2,8.445400000000001,110.12,930.0
浦江世博家园八街坊 ,3,2,南,精装,1,0,100,19.2,4.1789000000000005,99.07,414.0
东方城市花园(二期) ,2,2,南北,精装,1,0,286,19.2,6.8403,121.34,830.0
美岸栖庭(公寓) ,1,1,南,精装,1,6,90,19.2,5.353400000000001,46.7,250.0
复地雅园 ,4,2,南,精装,1,1,13,19.2,9.9764,173.41,1730.0
汇豪天下 ,3,2,南,精装,1,4,10,19.2,9.6257,130.9,1260.0
新家坡美树馆 ,3,2,南西南,精装,1,3,6,17.0,9.9623,140.53,1400.0
万科假日风景(公寓) ,2,2,南,简装,0,0,45,19.2,6.100300000000001,91.8,560.0
兴林公寓 ,2,2,暂无数据,简装,1,0,1,19.2,8.335600000000001,110.37,920.0
万科假日风景(公寓) ,3,2,南,简装,0,0,85,19.2,5.8956,134.0,790.0
长桥五村 ,2,1,东南,简装,0,10,56,19.2,7.4907,56.07,420.0
尊园 ,3,2,南,毛坯,1,4,84,19.2,7.9568,152.45,1213.0
虹旭小区 ,3,1,南,简装,0,5,85,19.2,5.5597,67.45,375.0
国信世纪海景 ,3,2,南,精装,1,9,56,19.2,9.9708,235.69,2350.0
中凯城市之光(静安) ,1,1,东南,精装,1,6,337,19.2,10.3033,59.69,615.0
武康路280弄(公房) ,2,1,南,精装,0,7,180,19.2,10.2791,40.86,420.0
中华小区 ,2,1,南,精装,0,6,193,19.2,6.4779,54.03,350.0
三林安居苑 ,2,1,南,精装,0,16,25,9.0,5.3349,62.42,333.0
阳光城丽景湾PLUS ,2,2,暂无数据,毛坯,0,2,34,19.2,4.8864,88.0,430.0
光华园 ,2,1,南,简装,0,4,24,19.2,8.1652,86.71,708.0
金鹏花园 ,2,1,东北,精装,1,23,360,19.2,5.9244,61.61,365.0
大华锦绣华城(十五街区) ,3,2,南,精装,1,28,39,19.2,8.2179,101.0,830.0
星河世纪城 ,2,2,南,精装,1,11,4,16.0,6.5958000000000006,94.0,620.0
世纪之门 ,2,1,南,精装,1,14,20,15.0,7.589600000000001,60.61,460.0
