region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
金地湾流域(公寓) ,S,4,2,S,3,1,3,259,19.2,4.1562,7.2948,178.21,1300.0
水清年华花园 ,S,1,1,S,3,1,3,206,19.2,3.3281,5.4976,57.48,316.0
东方花园(一期) ,S,2,2,S,0,0,29,29,19.2,1.5104,5.1623,81.36,420.0
仁恒河滨城 ,S,3,2,S,3,1,1,171,19.2,2.7083,9.1824,151.16,1388.0
新梅共和城 ,S,3,2,S N,1,1,13,169,19.2,3.1146,7.2482000000000015,125.55,910.0
永嘉新村 ,S,2,1,S,3,0,10,128,19.2,2.3646,12.2061,89.3,1090.0
绿地香颂(奉贤)(公寓) ,S,1,1,S N,2,1,10,331,19.2,5.5365,1.8501,62.16,115.0
同润加州(公寓) ,S,3,2,S,1,0,10,112,19.2,2.1146,3.0328,136.84,415.0
永和三村 ,S,2,0,S,1,0,13,27,19.2,0.8958,4.5447000000000015,58.31,265.0
凯德嘉博名邸 ,S,2,1,S W,3,1,16,102,19.2,2.1771,8.1175,89.93,730.0
国信世纪海景 ,S,3,2,SE,3,1,2,25,19.2,0.4635,9.3598,235.69,2206.0
金地艺境(宝山) ,S,2,1,S N,3,1,6,88,19.2,1.5938,3.5422,71.99,255.0
张江汤臣豪园(二期) ,S,2,2,S,2,1,31,164,19.2,3.6927,8.651,76.87,665.0
