region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
昆明市自来水总公司宿舍 ,2,2,东南,其他,0,0,5,22.0,1.4694,49.0,
金沙小区 ,3,2,南,其他,0,1,0,21.0,0.7816000000000001,139.46,109.0
中和巷9号 ,4,2,南北,简装,0,0,1,17.0,3.0,120.0,360.0
广福小区二区 ,4,2,南北,其他,0,0,0,19.0,1.6217000000000001,185.0,300.0
东骧神骏 ,3,2,南,其他,0,0,2,19.0,1.2265000000000001,97.84,120.0
世纪城叠春苑 ,3,2,南,精装,0,0,1,19.0,1.7519,137.0,240.0
书香门第 ,2,1,西,其他,0,0,0,19.0,1.3405,82.06,110.0
禧瑞都 ,2,2,西南,其他,0,0,1,19.0,1.3939000000000001,78.92,110.0
昆明嘉丽泽 ,2,1,南北,其他,0,0,0,19.0,1.2113,71.0,
金尚俊园 ,3,2,东北,其他,0,0,0,19.0,1.5702,114.0,179.0
华都花园B区 ,4,2,南北,其他,0,1,0,19.0,1.5710000000000002,138.77,218.0
阳光花园·昱苑 ,3,2,东,其他,0,0,0,19.0,1.6205,137.0,222.0
昆明广场B区 ,3,2,南,其他,0,0,1,19.0,1.8905,129.6,245.0
昆明广场上北区 ,3,2,东,其他,0,0,1,19.0,1.5530000000000002,85.0,132.0
金色交响家园 ,3,2,南北,其他,0,0,1,19.0,1.1539000000000001,104.0,120.0
海伦国际 ,2,2,西西北,其他,0,0,1,19.0,1.4532,82.58,120.0
万科金域缇香 ,3,2,南,其他,0,0,1,19.0,1.7188,128.0,220.0
护国路291号 ,2,2,东,其他,0,0,1,19.0,1.6312,52.11,
金星小区 ,4,2,南北,其他,0,0,6,19.0,0.9254,118.87,110.0
胜利花园二期 ,3,1,西,其他,0,1,9,19.0,1.0699,61.69,
天骄北麓 ,2,2,东,其他,0,0,1,19.0,1.2437,78.8,
华龙人家 ,2,2,东,其他,0,0,5,19.0,0.9610000000000001,85.33,
紫光园小区 ,3,2,东西,其他,0,0,0,31.0,1.2797,118.0,151.0
上游水岸二期 ,3,2,东,其他,0,0,0,31.0,1.2872000000000001,101.0,130.0
中豪.悦城花园 ,3,2,东南,其他,0,0,0,31.0,1.2674,101.0,128.0
和谐世纪 ,2,2,北,其他,0,0,8,30.0,0.9894000000000001,94.0,
泰旸新城 ,2,1,南,其他,0,0,2,29.0,1.2196,69.7,
时代俊园 ,4,2,南北,其他,0,0,0,29.0,0.9643,140.0,135.0
万科金域国际 ,3,1,西,其他,0,8,4,29.0,1.1807,97.4,115.0
金马悦城 ,2,2,东西,其他,0,0,0,29.0,1.2899,82.18,106.0
时代俊园 ,4,2,南北,其他,0,0,0,28.0,0.9375,144.0,135.0
时代俊园 ,4,2,东西,其他,0,0,0,28.0,0.9028,144.0,130.0
蓄电池厂 ,2,1,南北,其他,0,2,6,28.0,0.9256000000000001,50.78,
万科魅力之城 ,3,2,东南,其他,0,0,2,28.0,1.3484,89.0,120.0
滇池卫城锦尚 ,2,2,南,其他,0,0,2,27.0,1.9102000000000001,89.0,170.0
山海湾 ,5,2,南,其他,0,0,0,27.0,1.5062,243.0,366.0
红星国际广场晶品 ,2,2,西南,其他,0,0,0,26.0,1.5556,90.0,140.0
昆明广场上北区 ,3,2,东南,其他,0,0,0,26.0,1.7651000000000001,89.97,158.8
水木山居 ,3,2,东西,其他,0,0,2,25.0,1.0903,117.4,128.0
时代俊园 ,3,2,东西,其他,0,0,0,25.0,0.8261000000000001,115.0,
时代俊园 ,4,2,东南,其他,0,0,1,25.0,0.8584,186.4,160.0
朝九晚五 ,2,2,西,其他,0,1,4,25.0,1.0324,82.34,
中央丽城 ,2,2,东南,其他,0,0,0,24.0,1.8528,99.85,185.0
金呈北泰花园 ,3,1,南,其他,0,0,0,24.0,1.3433000000000002,134.0,180.0
金尚俊园 ,2,1,南,其他,0,0,1,23.0,1.5783,79.2,125.0
金色俊园 ,3,2,东南,其他,0,1,1,23.0,1.5466,86.0,133.0
审计厅宿舍 ,4,2,西南,其他,0,0,0,22.0,3.5811,89.36,320.0
时代俊园 ,5,2,东西,其他,0,0,2,22.0,0.7881,184.0,145.0
江东花园茶香园 ,3,2,南北,其他,0,1,1,21.0,1.2059,102.0,123.0
未名城A8地块 ,2,2,西,其他,0,0,0,20.0,1.4546000000000001,88.0,128.0
万科金域国际 ,2,2,东,其他,0,4,1,20.0,1.1948,75.33,
省供销社宿舍 ,2,2,南北,其他,0,1,1,20.0,1.5790000000000002,57.0,
世博生态城临山邻里 ,3,2,南,精装,0,0,0,18.0,1.25,132.0,165.0
同德锦江嘉园 ,3,2,东南,其他,0,0,2,19.0,1.9278000000000002,83.0,160.0
新亚洲体育城星泽园 ,2,1,东南,精装,0,8,2,19.0,1.1859,69.99,
新亚洲体育城星体花园南区 ,4,2,西南,简装,0,0,1,19.0,0.9413,169.98,160.0
百年明日城市 ,5,2,南北,简装,0,0,3,19.0,1.2828000000000002,145.0,186.0
福康花园南区 ,5,2,东南,其他,0,0,0,19.0,1.1680000000000001,256.0,299.0
新亚洲体育城星云园 ,4,2,东南南北,其他,0,0,1,19.0,1.1291,248.0,280.0
枫林盛景西区 ,4,2,东,其他,0,0,1,19.0,1.1218000000000001,230.0,258.0
城市山 ,5,2,南,其他,0,1,5,19.0,1.6055000000000001,147.0,236.0
荷塘月色 ,3,2,东南,其他,0,0,0,19.0,1.6908,133.08,225.0
新亚洲体育城星体花园北区 ,5,2,西南,其他,0,1,13,19.0,0.9282,181.0,168.0
南亚风情第壹城星河苑 ,5,2,南北,其他,0,0,0,19.0,2.21,217.2,480.0
