region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
新亚洲体育城星泽园 ,K,5,2,SE,0,0,14,4,19.0,0.5789,1.0986,142.0,156.0
西丽园 ,K,4,2,S N,0,0,0,0,30.0,0.0,1.1655,133.0,155.0
中豪逸境花园 ,K,2,2,SE,1,0,1,1,19.0,0.0526,1.0094,107.0,108.0
万科白沙润园 ,K,4,2,SE,2,0,0,1,8.0,0.0375,1.4468,165.89,240.0
万科魅力之城 ,K,3,2,SW,3,0,0,2,19.0,0.0316,1.3087,81.0,106.0
世纪城迎春苑 ,K,4,2,S N,0,0,0,3,19.0,0.0474,1.2343,178.25,220.0
江东小康城 ,K,4,2,S N,0,0,2,2,18.0,0.1111,1.0958,156.97,172.0
俊发城 ,K,4,2,S,0,0,0,0,15.0,0.0,1.3287,143.0,190.0
都市枫林 ,K,7,5,S,0,0,0,0,13.0,0.0,0.7390000000000001,295.0,218.0
龙苑盛景 ,K,5,4,S,0,0,0,0,12.0,0.0,1.5688,286.86,450.0
顺城豪庭 ,K,4,2,NE,0,0,0,0,11.0,0.0,1.7143000000000002,168.0,288.0
云南第三机床厂宿舍 ,K,3,2,E W,0,0,0,1,10.0,0.03,1.3292000000000002,82.76,110.0
未名城A8地块 ,K,4,2,S,0,0,0,0,23.0,0.0,1.25,140.0,175.0
中海半岛华府 ,K,3,2,S,0,0,3,1,17.0,0.1412,1.6069,117.0,188.0
五一路234号 ,K,2,2,N,0,0,0,2,15.0,0.04,2.3229,77.49,180.0
物资大院 ,K,1,0,S N,0,0,0,0,14.0,0.0,2.4586,38.64,
云南艺术家园区 ,K,4,2,S,0,0,0,4,11.0,0.1091,1.1786,140.0,165.0
东风西路57号 ,K,2,1,E W,0,0,0,1,11.0,0.0273,2.0,40.0,
桃源花园 ,K,3,2,SW,0,0,0,1,10.0,0.03,1.3859,133.49,185.0
银德·香榭丽园 ,K,7,4,S N,3,0,2,4,19.0,0.1368,1.4113,121.88,172.0
枫林盛景西区 ,K,4,2,S,3,0,6,14,19.0,0.4421,0.9901,202.0,200.0
彼岸二期 ,K,4,2,SE,2,0,2,13,19.0,0.2789,1.0,126.0,126.0
广福小区二区 ,K,4,2,S,3,0,0,1,19.0,0.0158,1.4378,233.0,335.0
新域盛景 ,K,4,2,S N,3,0,0,1,19.0,0.0158,1.4384,146.0,210.0
山海湾 ,K,3,2,S,1,0,2,0,19.0,0.0737,1.719,153.0,263.0
山海湾 ,K,4,2,SE,1,0,0,3,19.0,0.0474,1.6,200.0,320.0
山海湾 ,K,3,2,SE,1,0,1,2,19.0,0.0684,1.5,160.0,240.0
