attention,url,unit_price,region,house_info,visited,publishday,total_price
10,,109203,大唐盛世花园 , | 2室2厅 | 100.73平米 | 南 | 精装 | 有电梯,26,,1100
31,,58702,维多利亚(公寓) , | 2室2厅 | 139.69平米 | 南 | 简装 | 有电梯,17,,820
80,,72001,佳信都市花园(公寓) , | 7室2厅 | 261.11平米 | 南 | 简装 | 有电梯,1,,1880
96,,73966,延平大厦 , | 2室2厅 | 116.27平米 | 东南 | 精装 | 有电梯,1,,860
66,,24852,佳乐苑 , | 3室2厅 | 124.34平米 | 南 | 毛坯,2,,309
53,,42071,爱邦大厦 , | 2室2厅 | 96.98平米 | 西北 | 毛坯 | 有电梯,6,,408
179,,29374,新凯城香樟苑 , | 2室1厅 | 68.02平米 | 南 | 毛坯 | 有电梯,17,,199.8
41,,49166,古美西路316弄 , | 2室1厅 | 77.29平米 | 南 | 其他 | 无电梯,21,,380
141,,65109,恒丰大楼(静安) , | 1室1厅 | 59.9平米 | 东南 | 简装 | 有电梯,21,,390
80,,50715,经纬阳光水岸家园(一期) , | 1室2厅 | 60.14平米 | 南 | 精装 | 有电梯,28,,305
136,,46224,金杨七街坊 , | 2室1厅 | 70.31平米 | 南 | 简装 | 无电梯,20,,325
41,,57778,临沂大楼 , | 2室2厅 | 88.27平米 | 南 | 其他 | 有电梯,1,,510
29,,64600,中环家园 , | 3室2厅 | 131.58平米 | 南 | 精装 | 有电梯,3,,850
109,,64679,申江豪城 , | 2室2厅 | 91.22平米 | 南 | 简装 | 无电梯,24,,590
82,,94939,上海绿城 , | 3室2厅 | 136.51平米 | 暂无数据 | 精装 | 有电梯,35,,1296
161,,88632,江临天下 , | 3室2厅 | 129.75平米 | 南 | 精装 | 有电梯,34,,1150
104,,73441,大唐盛世花园 , | 6室2厅 | 215.14平米 | 南 | 精装 | 有电梯,11,,1580
8,,48361,经纬学府涵青花园(二期) , | 3室2厅 | 122平米 | 南 | 精装 | 有电梯,12,,590
51,,103254,融创滨江壹号院 , | 3室2厅 | 217.91平米 | 西南 | 精装 | 有电梯,1,,2250
62,,87066,上海绿城 , | 3室2厅 | 127.49平米 | 南 | 简装 | 有电梯,43,,1110
411,,38202,新领地 , | 3室2厅 | 125.65平米 | 东北 | 精装 | 有电梯,41,,480
72,,23205,十字街大楼 , | 3室2厅 | 94.81平米 | 南 | 毛坯 | 无电梯,1,,220
130,,44423,西湖苑 , | 2室1厅 | 50.65平米 | 南 | 精装 | 无电梯,2,,225
110,,46522,汪家井小区 , | 1室1厅 | 45.57平米 | 南 | 精装 | 无电梯,3,,212
81,,68863,泾东小区 , | 1室1厅 | 53.73平米 | 南 | 简装 | 有电梯,7,,370
87,,32338,百花新村 , | 2室2厅 | 77平米 | 暂无数据 | 其他 | 无电梯,4,,249
